Symbol,baseMean,log2FoldChange,padj
1500009L16Rik,1979.799,-2.153,0.0
6530418L21Rik,2842.277,-1.533,0.0
Abca8b,2422.885,-2.057,0.0
Adipoq,78893.627,-1.243,0.0
Adm,15325.631,-0.992,0.0
Adrb3,1988.988,-5.996,0.0
Ak4,3842.15,-1.819,0.0
Aldh4a1,6091.147,-1.678,0.0
Asah2,3970.537,-1.789,0.0
Bzw2,7186.981,1.971,0.0
C1qtnf7,2408.159,1.834,0.0
C1s,53794.441,-1.476,0.0
C3,1119737.893,-1.916,0.0
C4b,331821.275,-1.653,0.0
Calr,87066.622,-0.885,0.0
Ccng1,46357.463,-1.426,0.0
Cdkn1a,56951.299,-1.349,0.0
Cdo1,49959.668,-1.182,0.0
Cercam,2924.086,-2.45,0.0
Ces1f,4759.757,-1.928,0.0
Ces2e,1380.994,-3.037,0.0
Cirbp,8657.295,1.9,0.0
Clu,155370.748,-1.809,0.0
Comp,245246.51,-2.017,0.0
Cox6b2,1215.175,-3.301,0.0
Cx3cl1,43325.984,-2.091,0.0
Cxcl12,149865.778,-1.261,0.0
Cyp4v3,10468.335,-1.105,0.0
Ddit4,7999.38,-1.592,0.0
Dpep2,1260.461,2.408,0.0
Dram1,21815.675,-1.028,0.0
Ece2,6798.899,-1.591,0.0
Eif4a2,19737.686,-2.197,0.0
Ephx1,48473.662,-1.187,0.0
Fam162a,20926.985,-1.384,0.0
Fbln1,6309.189,-2.305,0.0
Fgl1,12481.593,-2.522,0.0
Fmo1,7124.964,-1.662,0.0
Gaa,26359.598,-1.454,0.0
Ggcx,3084.76,-2.068,0.0
Ggt5,2000.464,-2.087,0.0
Gpx3,49383.732,-2.068,0.0
Gpx8,11924.379,-1.429,0.0
Gstt1,5335.654,-2.415,0.0
H2-D1,108524.168,-1.931,0.0
H2-K1,88232.979,-2.134,0.0
H2-T23,16101.364,-2.022,0.0
Hexa,23637.42,-1.517,0.0
Hltf,2846.916,-1.586,0.0
Hmga2,4586.473,2.262,0.0
Hnrnpc,14384.742,-1.17,0.0
Hsp90b1,81178.393,-1.304,0.0
Hspa5,68724.346,-0.977,0.0
Htra1,13723.601,-2.589,0.0
Hyal1,3656.507,-1.668,0.0
Icam1,14395.595,-1.287,0.0
Ifi205,3619.764,-2.674,0.0
Ifnar2,14731.884,-1.091,0.0
Igf1,15130.104,-1.555,0.0
Igf2,29164.268,-2.538,0.0
Igfbp4,113599.436,-1.56,0.0
Igfbp7,101517.926,-1.272,0.0
Kif1c,26941.389,0.754,0.0
Mettl7a1,9489.462,-1.465,0.0
Mia1,5651.904,-1.901,0.0
Ntrk2,22094.155,-1.534,0.0
P4ha1,23635.082,-1.723,0.0
P4ha2,22356.666,-1.799,0.0
Pdia3,93151.109,-0.805,0.0
Pdia4,25420.305,-1.033,0.0
Pdia6,33852.822,-1.073,0.0
Pex6,3453.601,-1.493,0.0
Pfkl,26202.124,-1.096,0.0
Phgdh,3324.016,1.829,0.0
Plod2,34144.457,-1.605,0.0
Plod3,20465.353,-1.114,0.0
Pnpla3,672.807,-4.741,0.0
Ppic,22239.257,0.978,0.0
Pqlc3,10083.689,-1.142,0.0
Pygl,6744.912,-1.201,0.0
Rarres2,27129.724,-2.394,0.0
Rbm3,15887.632,2.736,0.0
Rcn3,37417.333,-1.462,0.0
Retnla,1994.439,2.41,0.0
S100a4,64513.237,1.789,0.0
Serping1,52108.885,-1.917,0.0
Serpinh1,65705.266,-1.314,0.0
Slc1a3,4605.575,-1.44,0.0
Smoc1,38184.134,-1.199,0.0
Spon1,6546.281,-2.765,0.0
Tap1,7934.106,-1.681,0.0
Tbcd,7667.964,1.106,0.0
Tgoln1,12630.88,-1.139,0.0
Tpp1,16656.618,-1.596,0.0
Trf,1919909.125,-1.607,0.0
Vcam1,23420.639,-1.637,0.0
Vnn1,11072.962,-2.338,0.0
Mgll,16814.322,1.119,0.0
Efs,1514.664,-2.003,0.0
9930013L23Rik,36394.245,1.854,0.0
H2-Q4,10272.552,-2.752,0.0
4632428N05Rik,4605.589,-1.154,0.0
Apoe,44155.419,-1.55,0.0
Abcd2,2782.433,-1.503,0.0
Dhx9,18122.052,1.145,0.0
Lrrc59,18672.879,0.844,0.0
Cpox,2618.94,-1.384,0.0
Psmb9,1993.357,-2.167,0.0
Kif20a,1638.62,2.291,0.0
Pla2g15,5818.118,-1.152,0.0
Vegfa,15899.276,-1.613,0.0
Rasd1,1227.543,2.139,0.0
P2ry6,2194.985,-2.048,0.0
Gm2115,17015.382,1.308,0.0
Csf1,47434.899,-1.137,0.0
Chpf2,17362.117,1.054,0.0
Slc7a6,6493.054,1.085,0.0
Cyp2f2,34422.593,1.503,0.0
Ctsd,216413.14,-0.8,0.0
Strn4,6879.726,1.053,0.0
Glt25d1,10488.432,-0.969,0.0
Gsn,427468.174,-0.902,0.0
Hnrnph3,1446.011,-2.116,0.0
1500015O10Rik,42770.672,-1.281,0.0
Ly6a,39570.414,-1.422,0.0
Hsph1,4492.954,-1.738,0.0
Myof,26512.515,0.979,0.0
Slc25a5,17130.767,1.1,0.0
Efemp1,141283.642,-1.023,0.0
Magt1,4141.263,-1.213,0.0
Stxbp6,8779.496,-1.183,0.0
Vnn3,4364.259,-1.609,0.0
Ero1l,35824.328,-2.872,0.0
G0s2,18751.684,-1.114,0.0
Mlec,33797.956,-0.846,0.0
H1f0,15708.027,0.816,0.0
Ndufa4l2,27022.789,-2.361,0.0
Ddx21,6308.392,1.097,0.0
Wnt16,859.722,-2.902,0.0
Pgam1,61760.075,-0.936,0.0
Bsg,156905.48,-1.587,0.0
Maob,4509.228,-1.212,0.0
Serpine2,21212.143,-1.673,0.0
Hyou1,10281.151,-1.08,0.0
Psat1,3207.998,1.827,0.0
Cdca3,775.063,2.466,0.0
Chid1,5836.567,-1.163,0.0
Lrrc51,473.165,-3.049,0.0
Ly6c1,15818.089,-1.471,0.0
Topbp1,3300.664,1.188,0.0
Lum,182757.111,-1.13,0.0
Chl1,4430.226,-1.438,0.0
Lman2l,2098.241,-1.597,0.0
Agpat2,3734.683,1.614,0.0
Aga,7042.551,-1.043,0.0
Cidec,7773.704,-1.585,0.0
Il18rap,1276.053,2.024,0.0
Igfbp3,4976.69,-1.789,0.0
Hpx,10736.581,1.824,0.0
Pltp,9899.031,-1.32,0.0
Ncam1,6074.831,-1.666,0.0
Gsto1,10319.027,1.139,0.0
Ptprk,10453.024,0.842,0.0
Gadd45g,5469.185,-1.391,0.0
Dleu2,381.502,-3.441,0.0
Ctsz,25294.486,-0.916,0.0
Celf5,666.059,-2.971,0.0
Aldh1l1,8664.339,-0.949,0.0
Man2a2,11321.674,-0.886,0.0
Col8a2,4722.936,-1.903,0.0
Cd55,1729.229,-1.998,0.0
Cspg4,22948.199,-1.115,0.0
Poglut1,6029.277,-0.941,0.0
Sqle,3105.759,1.187,0.0
Ppp1ca,17948.991,0.773,0.0
Slco2a1,27858.009,1.192,0.0
Thbs3,2800.463,1.488,0.0
Rbp4,22114.88,-1.215,0.0
Tatdn2,3487.619,1.27,0.0
Hmgb3,1055.984,2.147,0.0
Atp1b2,3929.206,-1.295,0.0
Igdcc4,3783.658,-1.741,0.0
Anln,3914.077,1.671,0.0
Tgfa,2144.054,-1.665,0.0
Papss2,2923.531,-1.206,0.0
Exoc4,16486.687,-0.937,0.0
Fbln5,61118.599,-0.887,0.0
Vac14,3347.258,1.218,0.0
Arhgdib,19350.782,0.995,0.0
Leprel2,20483.521,-0.784,0.0
Stc2,1775.707,-1.868,0.0
Slc5a3,12654.747,-1.701,0.0
Xrn2,9427.726,0.959,0.0
Fmnl3,5844.797,1.038,0.0
Rspo2,3054.719,-1.438,0.0
Pcca,2311.383,-1.369,0.0
B2m,239371.507,-2.109,0.0
Plekha2,4907.849,-1.39,0.0
Fam84a,3290.01,-1.566,0.0
Pgk1,105364.029,-0.89,0.0
Gadd45a,4094.749,-1.168,0.0
Ppp1r3c,14478.337,-1.305,0.0
Penk,51614.323,-1.543,0.0
Vkorc1,6566.153,-1.009,0.0
Snhg3,609.006,2.475,0.0
Ddx39,1539.109,1.722,0.0
Slc6a6,44727.117,0.956,0.0
Cnpy3,5319.767,-0.994,0.0
C1qtnf6,4368.305,1.239,0.0
Pfkp,11530.93,-1.44,0.0
Tap2,8606.686,-0.964,0.0
Fam46a,5240.483,-1.404,0.0
Prelp,125964.078,-1.05,0.0
Lcn2,450253.4,-1.003,0.0
Prkab2,3186.738,-1.377,0.0
Ctso,5348.267,-1.058,0.0
Gpr81,762.225,-2.185,0.0
Mest,8883.057,3.036,0.0
F3,8773.068,-0.986,0.0
Npc2,67659.809,-0.775,0.0
Aif1l,545.834,3.507,0.0
Pcsk5,5309.008,-1.238,0.0
A130040M12Rik,14486.82,1.209,0.0
Cntnap1,2249.187,-1.596,0.0
Socs2,4456.017,-1.228,0.0
Idua,1607.233,-1.586,0.0
Podn,11788.041,-2.145,0.0
Fubp3,4560.162,0.825,0.0
Rnf181,14848.018,-0.655,0.0
Eif4a1,34201.896,0.674,0.0
Slc25a3,23670.628,0.78,0.0
Rnpep,2547.422,-1.439,0.0
Tspan11,3872.06,1.324,0.0
Ccl6,7988.545,-0.986,0.0
Cdc20,981.286,2.239,0.0
Thbs2,34992.964,1.081,0.0
Rnase4,30100.287,0.918,0.0
Pfkfb3,28693.505,-1.082,0.0
Mib2,3015.816,-1.369,0.0
Lamb3,1008.788,-2.689,0.0
Cfh,39669.194,-1.121,0.0
Tbc1d4,1556.785,-1.385,0.0
Racgap1,1461.416,1.868,0.0
Slc25a24,5779.336,0.99,0.0
Pappa2,1916.654,-2.327,0.0
2310015A10Rik,993.766,1.836,0.0
Lpin1,9808.112,-1.167,0.0
Bgn,805515.124,-0.901,0.0
Mapk8ip3,6327.808,-1.362,0.0
Leprel1,4709.836,-1.085,0.0
Pon3,8502.176,-0.722,0.0
Sncg,21517.614,-0.896,0.0
Enc1,21382.638,-1.125,0.0
Esm1,4428.156,-3.962,0.0
H2-Q8,456.495,-3.963,0.0
Rtcd1,3020.128,1.17,0.0
Pm20d1,842.475,-2.234,0.0
Papln,1142.846,-1.764,0.0
H2-Q6,446.334,-4.693,0.0
Tpi1,70866.029,-0.667,0.0
Psmb8,3853.529,-1.621,0.0
Cyth3,7927.227,1.232,0.0
Rpn2,48431.605,-0.745,0.0
Egr1,3804.99,1.549,0.0
Nrp1,17943.765,-0.655,0.0
Notch3,4400.729,-1.362,0.0
Layn,10775.063,-0.849,0.0
Dzip3,1422.092,-1.457,0.0
Sgsm2,2824.889,-1.151,0.0
Kctd21,647.345,-2.249,0.0
Bnip3,39991.903,-0.995,0.0
Rasa3,20209.735,-0.596,0.0
Gpr176,6256.541,1.293,0.0
Slc1a5,26429.575,-0.998,0.0
Tubb6,5801.675,1.093,0.0
Fbxo36,1757.102,-1.625,0.0
Cct2,18277.411,0.656,0.0
Adamts5,22296.112,-1.307,0.0
Ppid,1669.385,-1.427,0.0
Ptgs1,1947.37,1.8,0.0
Prps1,6963.58,-1.141,0.0
Glrb,762.16,-1.867,0.0
N4bp1,7548.991,-0.941,0.0
Cplx2,484.423,2.253,0.0
Xbp1,15437.229,-0.711,0.0
Rasl12,993.822,-1.742,0.0
Slc2a1,16678.536,-1.03,0.0
Nxph4,4518.778,-1.599,0.0
Gpr124,14683.172,0.947,0.0
Kpna2,4277.763,1.369,0.0
Apln,8338.314,-1.631,0.0
Ppp4r1,4488.812,0.886,0.0
Kifc3,3218.806,1.114,0.0
Nipal1,571.807,2.414,0.0
Ogdhl,1781.171,-1.445,0.0
Sephs1,4571.841,0.986,0.0
Ppp1r3b,1867.184,-1.77,0.0
Itm2a,7963.664,-1.363,0.0
Fndc1,10761.016,-1.286,0.0
Tnk2,8823.433,0.784,0.0
Ncs1,3145.115,0.935,0.0
1700007K13Rik,466.535,-2.792,0.0
Cd24a,7352.099,0.978,0.0
Crlf1,19686.21,-1.019,0.0
Tbkbp1,1424.47,-1.516,0.0
Prkg2,839.065,2.575,0.0
Itga7,18361.037,-1.124,0.0
Rcc2,10980.304,0.917,0.0
Inhbb,10194.673,-0.909,0.0
Foxm1,737.462,2.148,0.0
Cntn1,1573.38,-1.877,0.0
Auh,4654.808,-0.957,0.0
2610020H08Rik,795.842,-1.847,0.0
Serpina3n,144233.134,-0.876,0.0
Dbp,5048.298,-1.139,0.0
Egln3,22865.611,-2.343,0.0
Jmjd8,2986.542,-1.302,0.0
A830007P12Rik,8077.812,-0.835,0.0
Ecm1,116890.657,-1.236,0.0
Col15a1,3038.522,-1.775,0.0
Plk1,608.873,2.299,0.0
Vldlr,6906.595,-1.443,0.0
Sfpq,10088.336,0.988,0.0
Ccnb2,685.003,2.613,0.0
Polk,4067.06,-0.939,0.0
Tmem140,3816.172,-1.185,0.0
Rassf1,4517.234,1.023,0.0
Hdgf,18457.53,0.703,0.0
Epdr1,12535.537,-0.762,0.0
A930038C07Rik,1498.64,-1.304,0.0
Nfe2l1,52926.98,-0.631,0.0
Derl1,11628.262,-0.682,0.0
Mccc1,4354.264,-1.116,0.0
Rapgef1,11710.054,0.725,0.0
Gja1,13160.393,-1.313,0.0
Sfrp4,531.064,-3.191,0.0
Snx7,5252.126,0.814,0.0
Scpep1,22102.229,-0.751,0.0
Hp,879660.141,-0.959,0.0
Tmtc1,831.73,-2.372,0.0
Emilin2,3986.804,1.453,0.0
