Symbol,baseMean,log2FoldChange,padj
Gnai3,2045.592068,-0.176436068,0.12836299
Cdc45,162.2724467,0.039202493,0.860785518
H19,963.586104,-0.008554942,0.999283571
Scml2,29.33521004,-0.726028683,0.02354542
Apoh,21.45371273,0.084421487,0.932786052
Narf,808.6642925,0.722663988,0.058523501
Cav2,11071.7259,-0.32868861,0.096816498
Klf6,3440.999897,-0.177474308,0.31950672
Scmh1,693.7194598,0.233009689,0.227301885
Cox5a,2304.701319,0.596932999,0.081884419
Tbx2,145.492748,-0.136513906,0.711056861
Tbx4,12.71162944,0.2147061,
Ngfr,54.02257877,-0.600436177,0.713605293
Wnt3,8.087350444,-0.758381428,
Wnt9a,162.7297934,0.679331823,0.0685999
Fer,531.5707701,-0.208352172,0.261282758
Xpo6,1712.543159,0.072683305,0.501482584
Tfe3,1483.427969,-0.001076362,0.99839124
Axin2,873.6070276,-0.149525149,0.818117819
Brat1,717.586729,-0.1228917,0.491652685
Gna12,2144.205939,-0.036700736,0.769543463
Slc22a18,237.7320913,0.019705081,0.959847743
Itgb2l,0.559349803,1.905920191,
Igsf5,0.712753695,0.332693844,
Pih1d2,26.12350645,-0.267479869,0.587124534
Dlat,3452.127251,0.28316886,0.41390882
Sdhd,2636.306155,0.247492753,0.277858903
Fgf6,15.77925656,3.457866211,
Ccnd2,6973.140653,-0.278970687,0.095074584
Gpr107,1206.143735,-0.026549167,0.784541343
Nalcn,12.71791589,1.011768703,
Btbd17,7.2652526,0.231072413,
Slfn4,27.61082819,-0.92461883,0.13345233
Th,7.220988554,2.087808631,
Ins2,0.077152452,0.577922156,
Scnn1g,2.450958651,-0.124081834,
Drp2,192.2445155,-0.0431073,0.963219648
Tspan32,81.56980402,-0.362802901,0.319574989
Lhx2,14.07841041,-0.172751657,
Clec2g,5.141019889,0.066771999,
Gmpr,423.2984835,1.212521782,0.038183809
Glra1,69.3844005,-0.787896591,0.010049684
Mid2,840.0613023,-0.260573945,0.045390081
Trim25,1258.104546,-0.128445824,0.526747535
Dgke,381.1929921,-0.195834802,0.340271618
Scpep1,1574.574783,-0.076033684,0.757221394
Mnt,719.3568668,-0.06005708,0.82900947
Itgb2,528.5858942,-0.051392346,0.908428377
Hddc2,191.7777167,0.168435824,0.522025152
Tpd52l1,47.1724927,1.289559856,0.234661998
Pemt,239.3513615,0.007463101,0.985424277
Cdh1,81.53352959,-0.971164963,0.717705867
Cdh4,24.38321233,1.970059278,0.088852113
Ckmt1,21.27575463,-1.327545713,0.631768646
Bcl6b,411.8950475,0.597013814,0.039104508
Clec10a,1967.900868,-0.022943485,0.973235741
Alox12,87.41426814,-0.450147213,0.562522783
Comt,5489.023127,-0.280582631,0.103757517
Rtca,445.9593294,0.213596669,0.240225843
Dbt,2572.365601,-0.158055957,0.428840936
Dazap2,5184.84787,0.204701162,0.010809289
Mcts1,459.4452884,-0.090988775,0.72869069
Rem1,115.538838,0.04343017,0.927784271
Rnf17,8.744085914,-0.591985094,
Trappc10,1708.403884,0.127982748,0.439400648
Ccm2,1141.991461,-0.03283889,0.888994579
Wap,0.084424089,0.577922156,
Tbrg4,908.9411337,0.225658793,0.197465381
Tmprss2,4.052618138,-1.932672389,
Mx1,59.41143532,-0.298412733,0.672315894
Fap,407.1545748,-0.332934671,0.170791516
Ndufa9,2488.281248,0.198211768,0.409022179
Egfl6,9.315150012,0.843389272,
Lck,29.22396959,0.555780135,0.497266719
Tssk3,0.144881092,-0.796054839,
Cttnbp2,36.37980796,0.017340754,0.991209635
Galnt1,2040.660354,0.069594043,0.68365307
Myf5,5.827222691,2.630600998,
Mkrn2,2600.062477,0.070794804,0.74871825
Pparg,7970.261708,-0.205844262,0.234615385
Raf1,3362.721413,0.022317206,0.938139717
Septin1,87.04442507,0.325840095,0.547062717
Pdgfb,850.8742545,-0.07697683,0.808999416
Acvrl1,1361.681588,-0.284616109,0.186300129
Tamalin,253.4474085,0.148882954,0.609755187
Acvr1b,1063.208532,0.078045908,0.827737475
Tom1l2,2308.994167,0.092746216,0.687164287
Gpa33,0.097954331,0.577922156,
Zfp385a,2434.774775,0.100012284,0.710768833
Itga5,914.3866824,0.064732652,0.746961822
Gabra2,4.746991627,-0.187811429,
Wdr77,957.713815,0.004643778,0.98264405
Adora3,13.66907672,0.286588355,
Atp5pb,4330.933506,0.262187434,0.352021892
Sox9,67.35939013,-0.681132291,0.334534209
Hnrnpd,1054.11762,0.018178636,0.886037311
Dynlt1c,30.20533428,-0.096388469,0.838415432
C1d,521.7707334,-0.03352122,0.907186518
Gm2a,5855.339429,-0.004722587,0.99035201
Krit1,816.9731858,-0.216883666,0.016027374
Clcn4,2034.572893,0.069594187,0.515628298
Grm6,0.146971804,0.097030959,
Sema4f,6.207487246,0.213841293,
Hk2,3685.318265,0.074071525,0.869974073
Myo18a,1793.687485,0.770651013,0.132957112
Sez6,25.71009807,0.362649852,0.646497646
Haao,25.77158209,0.299211939,0.561025934
Cd52,228.1373852,0.125740282,0.78773165
Abhd15,1721.233846,-0.058594507,0.790291293
Hoxb6,120.1140681,0.093892216,0.775502981
Loxl3,520.7280184,-0.138868012,0.514240629
Btn1a1,1.138204472,-3.668992722,
Kat2b,2704.292695,0.13239169,0.522025152
Rab5b,3448.04541,-0.006629077,0.970477212
Dnmt3l,15.68000832,0.083227139,
Aire,0.153655362,0.097030959,
Icosl,301.0288973,-0.223612791,0.356715352
Spg7,1483.56452,0.005049387,0.987718366
Sult5a1,158.1898351,0.054441157,0.925750383
Rpl13,6675.371801,-0.057040117,0.7641409
Chmp1a,1939.005694,0.077716942,0.420271272
