Symbol,baseMean,log2FoldChange,padj
2210403K04Rik,8715.222,2.02,0.0
2310008H04Rik,5647.185,-1.627,0.0
Adrb3,1988.988,-2.426,0.0
Anxa5,21712.537,-1.318,0.0
C1qtnf7,2408.159,1.72,0.0
Calr,87066.622,-1.285,0.0
Chpf2,17362.117,1.947,0.0
Cidec,7773.704,-2.604,0.0
Cirbp,8657.295,2.574,0.0
D4Wsu53e,5940.669,-1.78,0.0
Eif4a2,19737.686,-1.461,0.0
Ggcx,3084.76,-1.505,0.0
Gpx8,11924.379,-1.02,0.0
Hnrnpc,14384.742,-1.184,0.0
Hsp90b1,81178.393,-1.201,0.0
Hspa5,68724.346,-1.557,0.0
Hyou1,10281.151,-1.395,0.0
Ift80,2013.808,-1.734,0.0
Magt1,4141.263,-1.93,0.0
Mlec,33797.956,-0.963,0.0
Nfya,3315.577,-1.338,0.0
Npepps,13518.961,-1.18,0.0
P4ha1,23635.082,-1.186,0.0
P4ha2,22356.666,-1.121,0.0
Pdia6,33852.822,-1.26,0.0
Pfkl,26202.124,-1.202,0.0
Rbm3,15887.632,1.951,0.0
Serpinh1,65705.266,-1.366,0.0
Slc1a3,4605.575,-1.43,0.0
Tatdn2,3487.619,1.605,0.0
Alg5,3706.95,1.262,0.0
Strn4,6879.726,1.103,0.0
Pex6,3453.601,-1.392,0.0
Rap1gds1,6178.902,-1.15,0.0
Snrpb,9032.792,0.849,0.0
Banp,1131.61,-2.048,0.0
Dazap2,18866.98,0.677,0.0
Dzip3,1422.092,-1.817,0.0
Riok3,14944.524,0.962,0.0
1190005F20Rik,1887.438,-1.657,0.0
Sh3d19,6238.245,-1.196,0.0
Sdf2l1,1457.133,-1.962,0.0
Aldh7a1,6820.105,-1.398,0.0
Hsph1,4492.954,-1.734,0.0
Bzw1,26020.695,1.087,0.0
Slc39a10,2795.232,-1.348,0.0
Dclk1,14091.464,-1.32,0.0
Bzw2,7186.981,1.111,0.0
Col5a3,5267.299,-1.387,0.0
Ak4,3842.15,-1.646,0.0
Pex16,3048.6,1.123,0.0
Tep1,4537.5,-1.182,0.0
Ddx17,25996.915,-1.145,0.0
Lrrc59,18672.879,0.771,0.0
Manf,6458.852,-1.238,0.0
Slc6a6,44727.117,1.004,0.0
Dynll1,6905.99,-1.151,0.0
Tpp1,16656.618,-0.893,0.0
Oxct1,12069.422,-1.32,0.0
Hltf,2846.916,-1.307,0.0
Slc44a1,13425.407,0.956,0.0
Hnrpdl,7057.471,1.231,0.0
6720456H20Rik,2545.457,-1.281,0.0
Creld2,2798.854,-1.495,0.0
Fggy,2108.261,-1.262,0.0
Cx3cl1,43325.984,-1.006,0.0
Pnpla3,672.807,-2.477,0.0
Tnk2,8823.433,0.872,0.0
Dleu2,381.502,-3.195,0.0
Fam63a,6522.645,0.916,0.0
Lrrc51,473.165,-2.756,0.0
Rnpep,2547.422,-1.486,0.0
Hmgb3,1055.984,2.074,0.0
Afg3l2,6529.461,0.87,0.0
S1pr3,19881.541,-1.053,0.0
Gsto1,10319.027,1.065,0.0
Fus,13743.452,1.211,0.0
Tbcd,7667.964,0.901,0.0
Ncbp2,2800.555,-1.145,0.0
Glt25d1,10488.432,-0.847,0.0
Pdia4,25420.305,-0.727,0.0
Psmc4,8330.076,0.841,0.0
Slc7a6,6493.054,0.94,0.0
Psmb3,8833.273,0.959,0.0
Prelp,125964.078,-1.025,0.0
Fam120c,1720.913,-1.91,0.0
Ephx2,5489.962,-1.009,0.0
Ccnd2,42934.007,-0.844,0.0
Zxdc,5612.376,0.98,0.0
Prdx1,90578.764,1.232,0.0
Ccl7,12567.146,-1.474,0.0
Kctd21,647.345,-2.321,0.0
Tmco3,3231.76,-1.173,0.0
Nqo1,25043.615,1.5,0.0
Sin3b,8781.848,0.914,0.0
Rtcd1,3020.128,1.165,0.0
Fmo1,7124.964,-1.256,0.0
Psmc1,11641.101,0.835,0.0
1110002L01Rik,1051.503,-1.62,0.0
4930402H24Rik,4785.903,-1.072,0.0
Necap2,5797.824,0.903,0.0
Wdr78,358.192,-3.53,0.0
Ogt,8185.929,-1.113,0.0
1500009L16Rik,1979.799,-1.341,0.0
Pcca,2311.383,-1.253,0.0
Ewsr1,15363.77,1.011,0.0
Fbxo17,1219.426,1.534,0.0
Psmd1,18014.93,0.815,0.0
Srxn1,17863.873,1.367,0.0
Adamts5,22296.112,-1.29,0.0
Erlec1,9433.125,0.947,0.0
Lman2l,2098.241,-1.341,0.0
Apln,8338.314,-1.624,0.0
Trp63,3897.826,-1.323,0.0
Tra2a,2932.668,-1.0,0.0
Pla2g15,5818.118,-0.892,0.0
2010111I01Rik,4832.43,1.068,0.0
Mpzl1,6396.381,0.842,0.0
Scara3,31639.365,0.789,0.0
Slit2,15313.223,-1.132,0.0
Mpv17,4878.283,-0.855,0.0
Snhg5,2611.452,1.387,0.0
Caprin1,21628.424,-0.723,0.0
Psmb7,10325.574,0.755,0.0
Srsf2,7708.242,1.129,0.0
Chordc1,2336.808,-1.304,0.0
Gclc,6992.418,1.042,0.0
P2rx4,7553.344,-0.807,0.0
Wdr48,5512.077,-0.778,0.0
Rragc,11892.275,0.719,0.0
1500003O03Rik,53404.765,0.601,0.0
Ephx1,48473.662,-0.698,0.0
Xrn2,9427.726,0.815,0.0
Atf5,8272.975,-0.838,0.0
Lrrc29,324.883,2.709,0.0
B3galnt2,2261.155,-1.604,0.0
D3Ertd751e,1022.646,-1.82,0.0
Hnrnpd,5690.032,0.901,0.0
Erp44,6997.942,-0.838,0.0
Glrb,762.16,-1.712,0.0
Plxna3,1425.605,-1.607,0.0
Il17ra,6684.352,0.904,0.0
Canx,38424.209,-0.668,0.0
Epdr1,12535.537,-0.727,0.0
Ccng1,46357.463,-0.677,0.0
Ltbr,11427.57,0.667,0.0
Ufd1l,6690.281,0.835,0.0
Arih2,6059.872,0.942,0.0
Usp5,12868.02,0.624,0.0
Phyhd1,2709.96,-1.215,0.0
Rab6b,1519.414,-1.242,0.0
Ppid,1669.385,-1.279,0.0
Rapgef1,11710.054,0.686,0.0
Pgd,26831.324,0.937,0.0
Rcn1,11914.293,-0.658,0.0
Pea15a,12414.847,-0.759,0.0
Pcif1,3861.877,0.818,0.0
Echdc1,4532.081,-1.19,0.0
Ifrd1,8274.24,0.881,0.0
Cog4,8291.73,-0.696,0.0
Asah2,3970.537,-1.053,0.0
Gfpt1,7570.172,-0.714,0.0
Gsta4,3518.549,1.287,0.0
Psmd8,16181.484,0.788,0.0
Fubp3,4560.162,0.697,0.0
Kdm5c,9152.896,-0.699,0.0
1110018G07Rik,6932.914,0.728,0.0
0610007C21Rik,8615.055,0.61,0.0
Psma6,13994.911,0.711,0.0
Ccl2,13165.736,-1.316,0.0
Aph1a,10310.73,0.661,0.0
Ykt6,12073.434,0.809,0.0
Fam114a1,11853.878,-0.605,0.0
Il33,1067.593,-1.917,0.0
Tbc1d20,5361.765,0.687,0.0
Ankrd28,11337.786,0.816,0.0
Neat1,31752.446,-1.177,0.0
Eci2,6815.659,0.704,0.0
P2ry6,2194.985,-1.402,0.0
Fam84a,3290.01,-1.225,0.0
Xpo1,7004.575,-1.195,0.0
Ddx39b,12887.644,0.669,0.0
Atp11a,9922.993,-0.783,0.0
Kctd9,2805.167,1.077,0.0
Slc20a2,6171.587,1.069,0.0
Athl1,2549.445,-1.017,0.0
Fuz,1307.303,-1.185,0.0
Eif4a3,5997.772,0.713,0.0
Plod2,34144.457,-0.748,0.0
Ddx46,5708.587,0.754,0.0
Plod3,20465.353,-0.589,0.0
Gpr176,6256.541,1.098,0.0
Tmem143,1846.786,-1.212,0.0
Mocs2,5398.278,0.781,0.0
Dtnbp1,4614.139,0.779,0.0
Ibtk,11779.503,0.786,0.0
Dhdh,763.637,-1.606,0.0
Psmd4,9113.425,0.734,0.0
Mapkapk2,13944.896,0.64,0.0
Plaa,7726.832,0.723,0.0
Pomt1,1238.094,-1.223,0.0
Tcerg1,5380.911,0.931,0.0
Arl6ip4,2684.624,0.979,0.0
Fkbp10,21882.313,0.708,0.0
2410002F23Rik,3010.558,0.883,0.0
Anxa3,5287.47,-0.932,0.0
Maoa,10184.265,0.685,0.0
Fis1,6274.392,0.683,0.0
Rspo2,3054.719,-1.085,0.0
Ncrna00085,357.467,2.151,0.0
D14Abb1e,2730.332,-1.28,0.0
Mccc1,4354.264,-0.974,0.0
Has2,5204.66,-1.229,0.0
Lztr1,6966.313,-0.704,0.0
Gem,1410.01,-1.351,0.0
Ctsk,6125.452,0.96,0.0
Invs,1636.685,-1.2,0.0
Usp4,11132.082,0.626,0.0
Fibp,3371.032,1.136,0.0
Adrm1,7978.647,0.8,0.0
Fam171a1,7078.59,0.618,0.0
Tpcn2,2520.166,1.248,0.0
Uhrf2,4109.264,-0.95,0.0
Zfr,9279.024,-0.765,0.0
Efemp1,141283.642,-0.703,0.0
Sumf1,6694.915,0.689,0.0
Trub2,1935.295,1.103,0.0
Foxred1,3003.693,0.882,0.0
Gm2115,17015.382,0.874,0.0
Xpa,1094.308,1.61,0.0
Leprel1,4709.836,-0.852,0.0
H3f3b,54831.843,0.654,0.0
Trim47,4537.128,-0.828,0.0
Srek1,2459.285,-1.016,0.0
Enpp2,93256.271,0.677,0.0
Nom1,3091.651,0.936,0.0
N4bp1,7548.991,-0.766,0.0
Eif6,6572.204,0.802,0.0
E130317F20Rik,570.671,1.866,0.0
Arsg,1428.765,1.09,0.0
Tinagl1,5124.287,-1.05,0.0
Mfsd7b,991.96,1.401,0.0
Cops5,6849.127,0.838,0.0
Nfkb2,6429.683,-0.655,0.0
Fndc3a,14597.561,-0.722,0.0
C1rl,2524.919,-1.001,0.0
Mettl3,1045.294,-1.303,0.0
Rad18,1598.93,1.219,0.0
C1qtnf6,4368.305,0.919,0.0
Bcat2,4183.113,-0.837,0.0
Gm12942,948.883,-1.897,0.0
Txnrd1,22792.534,0.812,0.0
Gas7,1348.721,-1.382,0.0
Rbms3,2823.45,-1.003,0.0
Hnrnph3,1446.011,-1.341,0.0
Spata5,1964.855,1.177,0.0
Thap2,764.718,-1.396,0.0
Sphk1,4133.412,0.906,0.0
Rprd1a,2610.689,-0.856,0.0
E2f1,1996.082,-1.132,0.0
Plekha2,4907.849,-0.995,0.0
Rbm7,5079.524,0.7,0.0
Vps25,9195.334,0.738,0.0
Ddx39,1539.109,1.26,0.0
Calm3,16937.185,-0.736,0.0
2310001A20Rik,9149.746,0.864,0.0
Pisd-ps1,7236.639,-0.827,0.0
Senp8,578.166,-1.538,0.0
4632428N05Rik,4605.589,-0.701,0.0
Exoc4,16486.687,-0.657,0.0
Mapk6,18267.354,0.679,0.0
Hnrnpa2b1,21150.648,-0.64,0.0
Zfp207,12559.309,0.727,0.0
Mlh3,1678.16,-1.148,0.0
Psma2,13318.091,0.766,0.0
Sec13,10986.617,0.674,0.0
Iars2,9060.987,0.587,0.0
Mosc2,8600.31,0.676,0.0
Pofut2,9542.752,-0.736,0.0
Sgpl1,12145.234,0.652,0.0
Ppp1r3b,1867.184,-1.371,0.0
Hnrnph1,6688.606,-0.782,0.0
Topbp1,3300.664,0.795,0.0
Inhbb,10194.673,-0.721,0.0
Anxa1,55118.685,0.743,0.0
Cebpg,4244.826,-0.761,0.0
Man2a2,11321.674,-0.594,0.0
Ttc21b,2120.782,-0.826,0.0
Lrrk2,3380.544,-0.918,0.0
Pgam1,61760.075,-0.609,0.0
Glrx,14224.701,0.889,0.0
Atad3a,1992.283,0.874,0.0
Blvrb,9593.261,0.922,0.0
Psma7,9205.492,0.655,0.0
Tbl3,3392.163,0.928,0.0
Gab2,2447.847,0.919,0.0
Prelid2,479.715,-1.648,0.0
Pycard,458.179,-1.988,0.0
Anp32a,6431.629,-0.743,0.0
Tgfb2,21681.481,0.761,0.0
Atf4,15453.401,0.723,0.0
Cyb5d2,1335.916,-1.241,0.0
Tufm,4591.861,-0.727,0.0
G3bp1,7025.541,-0.634,0.0
Wisp2,62039.132,-0.649,0.0
3830406C13Rik,2396.508,-0.869,0.0
Ndrg1,17571.431,-1.444,0.0
Smarcal1,1866.53,-0.999,0.0
Cox4nb,3279.226,0.799,0.0
Tnfaip3,2898.39,-0.837,0.0
Ptk2,5845.555,0.66,0.0
Prmt2,2170.64,-1.092,0.0
Tmtc1,831.73,-1.837,0.0
Gak,11093.906,0.588,0.0
Hmox1,59812.787,0.971,0.0
Gtf2i,12393.551,-0.68,0.0
Ift122,4001.419,-0.863,0.0
Gbf1,9025.383,-0.701,0.0
Ftsj3,4705.564,0.753,0.0
Zfr2,1009.025,-1.462,0.0
Agfg1,4668.321,-0.682,0.0
Slc25a12,5806.519,0.789,0.0
Cdo1,49959.668,-0.641,0.0
Phkg1,773.258,-1.503,0.0
Tbrg1,12335.096,0.632,0.0
Herc6,2020.291,-1.6,0.0
Akr1b8,9577.776,0.663,0.0
Tomm20,14633.704,0.707,0.0
Gbp5,2678.711,-1.41,0.0
Parl,3026.669,0.79,0.0
Mtmr2,5479.715,0.637,0.0
Ggt5,2000.464,-1.06,0.0
Stxbp4,1519.613,-1.31,0.0
Cdk2ap2,3666.463,-0.804,0.0
Dhx9,18122.052,0.672,0.0
Ctso,5348.267,-0.72,0.0
Fbf1,4679.72,-0.647,0.0
Zdhhc4,3140.943,1.119,0.0
Psmb4,12898.185,0.711,0.0
Tomm70a,8140.446,0.69,0.0
Mgll,16814.322,0.646,0.0
Kitl,9934.679,-0.959,0.0
Isoc2b,660.968,-1.558,0.0
Map3k7,7695.325,0.748,0.0
Irf1,3414.814,-1.049,0.0
G0s2,18751.684,-0.678,0.0
Slc25a22,3356.396,-0.838,0.0
Fmnl3,5844.797,0.69,0.0
Lias,2744.101,0.747,0.0
C1qbp,5012.093,0.732,0.0
Mylk,3307.093,-0.967,0.0
Serpinb9,3142.997,-0.925,0.0
Hist1h1e,182.769,-3.526,0.0
Col4a5,9797.855,-0.747,0.0
Amfr,18400.159,0.626,0.0
S100a4,64513.237,0.688,0.0
Ahsa2,2077.195,-1.106,0.0
Ppm1h,1601.331,-1.103,0.0
Dcun1d2,1378.876,-1.357,0.0
Degs1,22133.118,0.701,0.0
Smn1,1482.436,0.965,0.0
Ppp1r13l,770.44,-1.31,0.0
Apex1,3136.596,0.927,0.0
Ahi1,1456.761,-0.984,0.0
Chpf,9691.548,0.711,0.0
Adh7,2679.036,0.962,0.0
Bcl3,2845.725,-1.153,0.0
Esd,49008.357,0.698,0.0
9030617O03Rik,7529.125,-0.62,0.0
BC013529,9631.147,0.68,0.0
Rbm12,2944.036,0.889,0.0
Gaa,26359.598,-0.602,0.0
Vegfa,15899.276,-0.92,0.0
Psmc3,10291.885,0.612,0.0
Wdr6,10505.779,0.771,0.0
l7Rn6,1639.246,-0.92,0.0
Gys1,12340.376,-0.78,0.0
Isg20,2169.549,-1.298,0.0
Med25,6154.74,0.809,0.0
Nipal1,571.807,1.769,0.0
Ift140,2267.313,-0.756,0.0
Rwdd1,4252.662,0.721,0.0
Ift172,3425.407,-0.907,0.0
Exd2,1374.984,-1.176,0.0
Syt17,625.464,-1.364,0.0
Ppap2a,15903.547,0.616,0.0
Aldoa,125034.988,-0.651,0.0
Ccnd3,17592.281,-0.606,0.0
Gtf2ird1,3602.139,0.7,0.0
Nup35,794.78,-1.25,0.0
Nudt5,1620.09,-1.021,0.0
Slc16a3,9260.163,-0.95,0.0
Ero1l,35824.328,-1.685,0.0
Taf1d,1587.354,1.149,0.0
Bphl,2840.099,-0.731,0.0
Fam46a,5240.483,-0.892,0.0
Notch1,3336.245,-0.904,0.0
Slc25a16,3567.578,0.778,0.0
Armcx5,971.425,1.114,0.0
Calml3,1217.828,-1.016,0.0
Nt5c2,2386.015,0.889,0.0
Il34,926.328,-1.481,0.0
Ttc13,3331.885,0.668,0.0
Mut,3697.429,-0.725,0.0
Spef1,181.094,-2.765,0.0
Akr1e1,3344.907,-0.734,0.0
Lace1,660.268,-1.214,0.0
Cdkn1c,2618.809,-1.19,0.0
Gm20300,672.409,-1.513,0.0
Ormdl3,18767.364,0.654,0.0
Smarcc2,15716.401,-0.639,0.0
Psmb6,8591.586,0.6,0.0
Cd99l2,6812.371,-0.603,0.0
Khnyn,2822.58,-1.054,0.0
Bcs1l,931.417,-1.23,0.0
Csf2ra,649.664,-1.437,0.0
Get4,4364.855,0.613,0.0
Sp100,1547.56,-2.169,0.0
Gclm,10111.727,0.946,0.0
Zfp275,3884.53,-0.659,0.0
Rasd1,1227.543,1.206,0.0
Psmd13,7657.809,0.805,0.0
1110028C15Rik,1363.747,-0.882,0.0
Fcf1,3538.51,0.775,0.0
Cndp2,3684.551,0.846,0.0
1110021L09Rik,3119.448,-0.809,0.0
Uba7,1056.908,-1.614,0.0
1810031K17Rik,4165.376,0.659,0.0
Slc39a8,1305.057,1.126,0.0
Pou6f1,4708.179,0.751,0.0
Flnb,43326.092,-0.761,0.0
Rad23a,4454.429,-0.602,0.0
Phkb,6081.814,-0.606,0.0
Cog5,1732.723,-0.899,0.0
Cct3,13464.113,0.587,0.0
Cisd3,1541.918,-0.879,0.0
Kdelc2,3005.98,-0.745,0.0
Abi3bp,38957.682,-0.772,0.0
Akr1c14,7964.264,-0.818,0.0
Mtch2,9147.382,0.636,0.0
Dis3,1577.977,1.054,0.0
Tfrc,10291.003,1.015,0.0
Idua,1607.233,-0.972,0.0
Map2k4,6807.049,0.623,0.0
Notch3,4400.729,-0.886,0.0
Hspa12a,521.498,-1.6,0.0
Mib2,3015.816,-0.855,0.0
Pdhb,6206.69,0.637,0.0
Ganc,1658.219,-1.016,0.0
Zfp687,4093.355,0.657,0.0
Klhl9,7097.574,-0.728,0.0
Igfbp3,4976.69,-1.013,0.0
Vac14,3347.258,0.741,0.0
Zmynd8,8576.102,-0.774,0.0
Eif1ad,2069.147,0.853,0.0
Pak1ip1,4319.487,0.724,0.0
Cox6b2,1215.175,-0.938,0.0
N6amt1,1766.805,0.818,0.0
Nab2,5290.74,-0.781,0.0
Pole3,1431.074,0.873,0.0
Timm23,6965.356,0.711,0.0
Trnau1ap,2827.289,0.837,0.0
Ifi27l1,18694.394,-0.722,0.0
Gnl2,6246.301,0.616,0.0
Carm1,5472.342,-0.734,0.0
Smpdl3b,1146.726,1.334,0.0
Vnn1,11072.962,-0.93,0.0
Hsdl2,3674.48,-0.63,0.0
BC026590,1675.861,-0.795,0.0
Nisch,38561.538,-0.592,0.0
Tuba1c,1576.467,1.004,0.0
Btf3l4,5690.809,0.654,0.0
Tmem48,1763.204,0.84,0.0
Gsr,6889.005,0.675,0.0
Ccnyl1,1974.279,0.78,0.0
Spata24,675.086,1.411,0.0
Cpox,2618.94,-0.693,0.0
Echs1,9107.41,0.6,0.0
