Symbol,baseMean,log2FoldChange,padj
A130040M12Rik,14486.82,1.517,0.0
Adipoq,78893.627,-1.284,0.0
Adrb3,1988.988,-3.569,0.0
C1s,53794.441,-1.184,0.0
C3,1119737.893,-1.662,0.0
C4b,331821.275,-1.462,0.0
Ccl6,7988.545,-1.332,0.0
Cdkn1a,56951.299,-1.212,0.0
Clu,155370.748,-1.6,0.0
Comp,245246.51,-2.014,0.0
Cyp2f2,34422.593,1.617,0.0
Cyp4v3,10468.335,-1.189,0.0
Ece2,6798.899,-1.276,0.0
Fgl1,12481.593,-2.196,0.0
Gpx3,49383.732,-1.818,0.0
Gsn,427468.174,-1.043,0.0
Gstt1,5335.654,-2.301,0.0
H2-D1,108524.168,-2.177,0.0
H2-K1,88232.979,-2.347,0.0
H2-Q4,10272.552,-3.441,0.0
Hexa,23637.42,-1.129,0.0
Htra1,13723.601,-2.173,0.0
Igf1,15130.104,-1.502,0.0
Igf2,29164.268,-2.057,0.0
Igfbp4,113599.436,-1.328,0.0
Igfbp7,101517.926,-1.206,0.0
Layn,10775.063,-1.154,0.0
Ly6c1,15818.089,-1.674,0.0
Mia1,5651.904,-2.018,0.0
Ntrk2,22094.155,-1.537,0.0
Rarres2,27129.724,-2.364,0.0
Rcn3,37417.333,-1.203,0.0
Serping1,52108.885,-1.624,0.0
Smoc1,38184.134,-1.358,0.0
Socs2,4456.017,-1.504,0.0
Spon1,6546.281,-2.85,0.0
Tap1,7934.106,-1.478,0.0
Trf,1919909.125,-1.581,0.0
H2-T23,16101.364,-2.009,0.0
Hmox1,59812.787,-1.652,0.0
Cox6b2,1215.175,-2.362,0.0
Retnla,1994.439,2.327,0.0
Hmga2,4586.473,1.956,0.0
Pcsk5,5309.008,-1.456,0.0
Ces1f,4759.757,-1.736,0.0
2310008H04Rik,5647.185,1.259,0.0
Itga7,18361.037,-1.448,0.0
Slc1a5,26429.575,-1.228,0.0
Rap1gds1,6178.902,1.152,0.0
Rbp4,22114.88,-1.328,0.0
Ifi205,3619.764,-2.133,0.0
Fbln1,6309.189,-1.588,0.0
Hp,879660.141,-1.22,0.0
Ces2e,1380.994,-2.693,0.0
Rasa3,20209.735,-0.71,0.0
1500015O10Rik,42770.672,-1.267,0.0
Ch25h,1708.866,2.129,0.0
2210403K04Rik,8715.222,-1.346,0.0
Dynll1,6905.99,1.193,0.0
Apoe,44155.419,-1.444,0.0
Cx3cl1,43325.984,-1.085,0.0
Cercam,2924.086,-1.688,0.0
Npc2,67659.809,-0.844,0.0
Ctsd,216413.14,-0.763,0.0
Trp63,3897.826,1.561,0.0
S100a4,64513.237,1.101,0.0
Fbxo36,1757.102,-1.861,0.0
Phlda3,29787.797,-0.966,0.0
Caprin1,21628.424,0.853,0.0
Rnf181,14848.018,-0.704,0.0
Isyna1,4207.515,1.316,0.0
Adm,15325.631,-0.861,0.0
Gpr124,14683.172,1.066,0.0
Ifnar2,14731.884,-0.848,0.0
0610007C21Rik,8615.055,-0.776,0.0
Lrpap1,23505.221,-0.89,0.0
Ly6a,39570.414,-1.277,0.0
Ctsz,25294.486,-0.867,0.0
H2-Q6,446.334,-4.909,0.0
Scarb2,17873.834,-0.791,0.0
Cxcl12,149865.778,-0.865,0.0
Hgf,3750.105,-1.053,0.0
B2m,239371.507,-2.051,0.0
Leprel2,20483.521,-0.759,0.0
Pltp,9899.031,-1.221,0.0
Cgnl1,13214.257,0.758,0.0
Enpp2,93256.271,-0.881,0.0
Chpf2,17362.117,-0.893,0.0
Unc5b,6293.847,-1.321,0.0
Hpx,10736.581,1.639,0.0
Serpine2,21212.143,-1.483,0.0
Nqo1,25043.615,-1.506,0.0
Srxn1,17863.873,-1.415,0.0
Rpn2,48431.605,-0.743,0.0
Lum,182757.111,-0.988,0.0
C2,5323.862,-1.212,0.0
Lgals3bp,107401.166,-1.37,0.0
Ptges,18497.125,-0.906,0.0
Tsc22d1,121995.221,-1.005,0.0
Ccng1,46357.463,-0.748,0.0
Angptl2,33749.251,-1.141,0.0
Gaa,26359.598,-0.852,0.0
Gadd45g,5469.185,-1.213,0.0
Hnrpdl,7057.471,-1.089,0.0
Anxa5,21712.537,0.759,0.0
Sdc4,85746.355,-0.832,0.0
Vnn1,11072.962,-1.408,0.0
Psmb8,3853.529,-1.542,0.0
Plod2,34144.457,-0.856,0.0
H2-Q8,456.495,-3.741,0.0
Tmem140,3816.172,-1.198,0.0
Hnrnpa2b1,21150.648,0.792,0.0
Pop1,841.09,1.928,0.0
Ociad1,23655.336,-0.708,0.0
Ift80,2013.808,1.312,0.0
Ncam1,6074.831,-1.402,0.0
Bzw2,7186.981,0.859,0.0
Eif4a2,19737.686,-0.736,0.0
Hnrnpm,8077.047,0.9,0.0
Hyal1,3656.507,-1.149,0.0
Vnn3,4364.259,-1.293,0.0
Stxbp6,8779.496,-0.949,0.0
Adora1,2684.566,-1.395,0.0
Cys1,1177.345,-1.643,0.0
Scara3,31639.365,-0.774,0.0
Sdf4,38125.844,-0.594,0.0
Pm20d1,842.475,-2.078,0.0
Gclc,6992.418,-1.03,0.0
Zfr,9279.024,0.876,0.0
Wnt16,859.722,-2.344,0.0
Bsg,156905.48,-1.27,0.0
Hsd17b11,5014.903,-0.809,0.0
Lcn2,450253.4,-0.876,0.0
Abhd4,17280.031,-0.905,0.0
Afg3l2,6529.461,-0.761,0.0
F3,8773.068,-0.868,0.0
Tspan11,3872.06,1.179,0.0
Fam162a,20926.985,-0.941,0.0
Phgdh,3324.016,1.171,0.0
Mdm2,12954.517,-0.853,0.0
Kif20a,1638.62,1.668,0.0
6530418L21Rik,2842.277,-1.065,0.0
Limd2,2312.605,1.14,0.0
Aif1l,545.834,2.964,0.0
Bhlhe40,17480.379,-1.225,0.0
Prps1,6963.58,-1.058,0.0
Gclm,10111.727,-1.282,0.0
Dcxr,16789.453,-1.013,0.0
Ei24,12911.079,-0.798,0.0
Ccdc80,153712.261,-0.608,0.0
H2-M3,1631.091,-1.498,0.0
Efs,1514.664,-1.454,0.0
Ankrd44,3091.287,-1.103,0.0
Fbln5,61118.599,-0.724,0.0
Prkg2,839.065,2.416,0.0
Col8a2,4722.936,-1.516,0.0
Racgap1,1461.416,1.616,0.0
Steap4,145533.503,0.719,0.0
Mrgprf,2608.334,1.035,0.0
Cfd,90117.964,-1.126,0.0
Ccnd1,27231.72,0.779,0.0
Dram1,21815.675,-0.665,0.0
Csf1,47434.899,-0.831,0.0
Poglut1,6029.277,-0.749,0.0
Ncs1,3145.115,0.855,0.0
Prkab2,3186.738,-1.147,0.0
0610007P08Rik,3262.407,0.869,0.0
Pqlc3,10083.689,-0.788,0.0
Thyn1,4585.9,-0.865,0.0
Mpzl1,6396.381,-0.764,0.0
Tpp1,16656.618,-0.703,0.0
Tmem66,19314.441,-0.689,0.0
Echdc1,4532.081,1.168,0.0
Lpin1,9808.112,-0.989,0.0
Gpr64,7373.692,-1.146,0.0
Sncg,21517.614,-0.758,0.0
Serpina3n,144233.134,-0.788,0.0
Gm15987,1514.922,-1.131,0.0
Gls,8467.85,0.857,0.0
Acin1,6750.647,0.75,0.0
Chd3,9518.517,0.892,0.0
Psmb9,1993.357,-1.503,0.0
Auh,4654.808,-0.852,0.0
Nfya,3315.577,0.902,0.0
M6pr,15147.656,-0.593,0.0
Anln,3914.077,1.268,0.0
Ecm1,116890.657,-1.087,0.0
Psat1,3207.998,1.313,0.0
Tmsb10,7753.487,1.004,0.0
Papln,1142.846,-1.464,0.0
Ddit4,7999.38,-0.951,0.0
Specc1,1458.024,1.325,0.0
Foxm1,737.462,1.861,0.0
Penk,51614.323,-1.184,0.0
Cpne8,11725.771,-0.672,0.0
Npepps,13518.961,0.691,0.0
Fth1,1217789.325,-0.812,0.0
Casp4,2703.216,-1.028,0.0
Col27a1,2976.058,-1.275,0.0
Slc6a8,12073.426,-0.689,0.0
Aqp1,29699.723,1.117,0.0
Prdx1,90578.764,-0.977,0.0
Ercc5,5838.917,-0.822,0.0
Gpr137b,9621.064,-0.969,0.0
Gtf2i,12393.551,0.749,0.0
Slco2a1,27858.009,0.872,0.0
Sprr1a,291.504,3.377,0.0
Bgn,805515.124,-0.715,0.0
Txnip,99921.995,-0.827,0.0
Aen,9227.405,-0.688,0.0
Efemp2,59837.895,-0.787,0.0
Lgals1,71323.027,0.766,0.0
Surf1,4602.176,-0.78,0.0
Mettl7a1,9489.462,-0.871,0.0
Zxdc,5612.376,-0.763,0.0
Acvrl1,10698.275,-0.599,0.0
Pgcp,13322.566,-0.618,0.0
Vkorc1,6566.153,-0.756,0.0
Arrdc4,10424.53,-0.735,0.0
Atf5,8272.975,0.726,0.0
Pfkfb3,28693.505,-0.826,0.0
Gas6,505782.491,-0.846,0.0
Dpep2,1260.461,1.411,0.0
Fbn2,7256.182,1.195,0.0
Ldhb,10277.021,-0.945,0.0
Sqrdl,8892.665,-0.601,0.0
Mest,8883.057,2.26,0.0
Nenf,8473.17,-0.797,0.0
Epas1,10318.578,-0.733,0.0
Eda2r,2981.214,-0.989,0.0
Itm2a,7963.664,-1.106,0.0
Tnfaip2,15535.651,0.603,0.0
P4ha2,22356.666,-0.678,0.0
Emilin2,3986.804,1.219,0.0
Cd28,787.5,1.511,0.0
Epb4.1l3,5882.709,0.924,0.0
Pygl,6744.912,-0.713,0.0
Sesn2,4915.567,-0.819,0.0
Itm2c,46583.224,-0.62,0.0
Cgref1,1068.387,-1.657,0.0
Top2a,2913.772,1.474,0.0
Cd24a,7352.099,0.79,0.0
Pm20d2,2783.567,-1.353,0.0
Sav1,16096.657,-0.586,0.0
Olfml2b,4154.473,-0.873,0.0
Pappa2,1916.654,-1.767,0.0
Cirbp,8657.295,-0.673,0.0
Esd,49008.357,-0.764,0.0
H3f3b,54831.843,-0.626,0.0
Ifi27l2a,39828.393,-1.005,0.0
Prdx6,28638.919,-0.658,0.0
Slc12a4,13135.29,-0.608,0.0
Rnase4,30100.287,0.678,0.0
C1ra,39792.044,-0.696,0.0
Aldh1l1,8664.339,-0.651,0.0
Mt2,83509.625,-0.933,0.0
Cfh,39669.194,-0.831,0.0
Arrdc3,9225.766,-0.757,0.0
Ccl2,13165.736,1.165,0.0
Fzd4,4494.235,-0.918,0.0
Itga3,6667.192,0.905,0.0
Sema3b,2148.515,-1.501,0.0
Uaca,3109.504,1.049,0.0
Fdps,2607.699,1.111,0.0
Srek1,2459.285,0.958,0.0
Tia1,2255.081,0.901,0.0
Myof,26512.515,0.621,0.0
Sema5a,539.55,2.044,0.0
Tra2a,2932.668,0.793,0.0
Higd1a,10371.173,-1.011,0.0
Chl1,4430.226,-0.947,0.0
Gstt3,6733.125,-0.827,0.0
Dhcr24,1094.028,2.09,0.0
Adam15,16916.342,-0.637,0.0
Arhgap29,18655.882,-0.609,0.0
Mpv17,4878.283,0.674,0.0
Matn4,6295.384,-1.133,0.0
Il17ra,6684.352,-0.743,0.0
Adh7,2679.036,-1.019,0.0
Icam1,14395.595,-0.722,0.0
Gsta4,3518.549,-1.087,0.0
Snhg5,2611.452,-1.07,0.0
Aga,7042.551,-0.675,0.0
Tgfb2,21681.481,-0.746,0.0
Prrx1,59690.488,0.66,0.0
Gas1,33156.963,1.084,0.0
Scpep1,22102.229,-0.588,0.0
Abca8b,2422.885,-1.169,0.0
Smc2,1234.459,1.393,0.0
Nap1l1,19452.359,0.613,0.0
Polk,4067.06,-0.731,0.0
Slc1a4,16278.193,-0.72,0.0
Cxcl2,1627.228,1.68,0.0
Srebf2,6654.347,0.872,0.0
Kcnj15,19248.763,-1.04,0.0
Adcy7,443.696,2.295,0.0
Slc2a1,16678.536,-0.764,0.0
Orm1,980.589,-1.269,0.0
Srgn,3256.256,-1.219,0.0
Bnip3,39991.903,-0.723,0.0
Cdc20,981.286,1.516,0.0
Prg4,6724.702,-1.775,0.0
Vcam1,23420.639,-0.906,0.0
Abca7,2405.04,0.935,0.0
Ttyh3,5013.911,0.912,0.0
Cspg4,22948.199,-0.719,0.0
Apod,15266.303,-2.341,0.0
Dkk2,443.179,2.104,0.0
Vldlr,6906.595,-1.091,0.0
Ppp1r3c,14478.337,-0.868,0.0
Cidec,7773.704,1.019,0.0
Procr,3046.751,-1.03,0.0
Shisa5,51544.059,-0.67,0.0
Rcan1,8790.458,-1.224,0.0
Ptpn2,10212.191,-0.775,0.0
Dpp7,2051.245,-1.257,0.0
Serpine1,40737.629,-1.062,0.0
Pip5k1c,4103.71,0.69,0.0
Gpr39,1617.108,1.385,0.0
Abcc1,24882.664,-0.621,0.0
Tgoln1,12630.88,-0.611,0.0
Ndufa4l2,27022.789,-1.426,0.0
Rcan2,1902.213,1.118,0.0
C330027C09Rik,592.591,1.518,0.0
Cyp1b1,56056.235,0.75,0.0
Ddx17,25996.915,0.704,0.0
Ncapd2,2229.636,1.027,0.0
Arhgef4,983.695,-1.201,0.0
Lrrc29,324.883,-1.948,0.0
Osgin1,2007.73,-1.111,0.0
Tgfa,2144.054,-1.074,0.0
Dcbld2,5336.206,0.661,0.0
Axl,24448.183,0.745,0.0
Prss35,1847.513,-1.431,0.0
Pvt1,1860.492,-0.987,0.0
Armcx6,1120.511,-1.255,0.0
Sfrp4,531.064,-2.392,0.0
Pnpla3,672.807,-2.264,0.0
Fam160a2,3054.37,-0.708,0.0
Dhrs7,4127.719,-0.872,0.0
Dclk1,14091.464,0.78,0.0
Srrt,3728.441,0.772,0.0
9930013L23Rik,36394.245,1.018,0.0
Celf5,666.059,-1.868,0.0
Atp5sl,1197.206,-1.264,0.0
Scara5,4519.721,-1.724,0.0
Prdx4,8286.966,-0.709,0.0
Sptlc2,6158.362,0.72,0.0
Crlf1,19686.21,-0.735,0.0
Marcksl1,5723.828,0.642,0.0
Btd,5759.816,-0.672,0.0
Rorc,2132.561,-0.955,0.0
Ctsf,9084.218,-0.714,0.0
Gprc5c,2834.843,-0.976,0.0
Ptgs1,1947.37,1.234,0.0
Vamp2,6453.72,-0.664,0.0
Msln,900.867,4.511,0.0
Car11,1017.725,-1.314,0.0
Sqle,3105.759,0.716,0.0
F2r,5993.227,0.705,0.0
Prc1,1387.219,1.553,0.0
Aldh4a1,6091.147,-0.895,0.0
Ppp1r15a,3564.758,-0.884,0.0
Stim1,8578.919,-0.648,0.0
Klf10,3539.778,-0.949,0.0
Slc22a4,1037.499,-1.403,0.0
2810405K02Rik,4125.185,-0.962,0.0
Gdf15,481.512,-1.98,0.0
Mpp1,14809.153,-0.744,0.0
Plk1,608.873,1.575,0.0
Slc41a1,14587.953,-0.672,0.0
Parp10,2282.412,-1.349,0.0
Anxa8,34301.368,-0.669,0.0
Hn1l,2811.922,0.925,0.0
